sample_id,module_id,group_module_id,label_damaged,label_role,chip_BVCE3_1m,chip_ICES7_1330,chip_IGE4_30,chip_IGE5_R30,chip_RG,chip_VCE5_200,chip_VTH5_10m,chip_position,dbc_location,label_note,process_anomaly_feature_count_z_ge_2,process_anomaly_max_z,process_anomaly_score,source_row,top_anomaly_features
E3003161ABV40298001001K21200697__row_2,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1347.094,91.966,2.977,-8.679,2.515,1.55,5.638,1,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,3.0093,175.5056,2,chip_RG:3.01
E3003161ABV40298001001K21200697__row_3,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1349.455,86.501,2.343,-8.191,2.5,1.547,5.637,2,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.8536,170.2933,3,chip_RG:2.85
E3003161ABV40298001001K21200697__row_4,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1349.991,89.575,2.343,-7.655,2.487,1.546,5.644,3,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.7187,163.7157,4,chip_RG:2.72
E3003161ABV40298001001K21200697__row_5,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1348.517,98.602,2.392,-7.313,2.48,1.549,5.646,4,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.6461,160.0218,5,chip_RG:2.65
E3003161ABV40298001001K21200697__row_6,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1350.338,94.357,3.026,-8.484,2.465,1.534,5.646,5,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.4904,148.6458,6,chip_RG:2.49
E3003161ABV40298001001K21200697__row_7,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1348.489,91.039,3.172,-8.484,2.475,1.549,5.653,6,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.5942,154.2614,7,chip_RG:2.59
E3003161ABV40298001001K21200697__row_8,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1352.369,98.749,2.196,-9.997,2.452,1.543,5.631,1,V,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.3555,149.3691,8,chip_RG:2.36
E3003161ABV40298001001K21200697__row_9,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1349.549,100.652,2.343,-9.411,2.458,1.545,5.626,2,V,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.4178,150.4167,9,chip_RG:2.42
E3003161ABV40298001001K21200697__row_10,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1353.232,106.458,3.27,-9.509,2.454,1.544,5.631,3,V,uncolored chip row; temporary candidate negative under chip-independence assumption,2,2.3763,155.7093,10,chip_RG:2.38; chip_BVCE3_1m:2.11
E3003161ABV40298001001K21200697__row_11,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,1,marked_damaged,1354.219,111.142,2.879,-9.118,2.445,1.546,5.631,4,V,colored chip row; treated as temporary damaged label,2,2.3263,155.8859,11,chip_BVCE3_1m:2.33; chip_RG:2.28
E3003161ABV40298001001K21200697__row_12,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1349.847,98.553,2.782,-8.923,2.455,1.545,5.628,5,V,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.3867,148.1175,12,chip_RG:2.39
E3003161ABV40298001001K21200697__row_13,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1351.36,95.479,2.538,-9.362,2.456,1.543,5.629,6,V,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.397,149.6984,13,chip_RG:2.40
E3003161ABV40298001001K21200697__row_14,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1349.879,88.209,2.635,-9.899,2.44,1.533,5.693,1,W,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.231,130.2363,14,chip_RG:2.23
E3003161ABV40298001001K21200697__row_15,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1347.946,80.353,2.928,-10.631,2.452,1.546,5.684,2,W,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.3555,138.0446,15,chip_RG:2.36
E3003161ABV40298001001K21200697__row_16,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1350.668,83.623,2.733,-11.363,2.47,1.55,5.676,3,W,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.5423,151.9372,16,chip_RG:2.54
E3003161ABV40298001001K21200697__row_17,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1354.191,95.919,2.392,-12.729,2.477,1.545,5.673,4,W,uncolored chip row; temporary candidate negative under chip-independence assumption,2,2.6149,164.6694,17,chip_RG:2.61; chip_BVCE3_1m:2.32
E3003161ABV40298001001K21200697__row_18,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1348.079,94.65,2.977,-13.607,2.498,1.547,5.663,5,W,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.8329,163.85,18,chip_RG:2.83
E3003161ABV40298001001K21200697__row_19,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,0,candidate_negative,1354.463,95.675,2.294,-14.486,2.519,1.544,5.655,6,W,uncolored chip row; temporary candidate negative under chip-independence assumption,2,3.0508,187.9034,19,chip_RG:3.05; chip_BVCE3_1m:2.38
E3003161ABV40298001001K21201308__row_20,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,1,marked_damaged,1350.05,44.441,3.27,-4.093,2.151,1.545,5.707,1,U,colored chip row; treated as temporary damaged label,0,1.4034,89.5834,20,
E3003161ABV40298001001K21201308__row_21,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1350.833,41.318,3.026,-4.288,2.153,1.546,5.706,2,U,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.5768,99.0336,21,
E3003161ABV40298001001K21201308__row_22,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1354.34,43.221,2.928,-4.727,2.17,1.548,5.702,3,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.3531,141.9523,22,chip_BVCE3_1m:2.35
E3003161ABV40298001001K21201308__row_23,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1352.455,50.833,2.343,-7.02,2.174,1.545,5.718,4,U,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.9358,116.2403,23,
E3003161ABV40298001001K21201308__row_24,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1349.869,43.319,2.879,-5.41,2.184,1.539,5.695,5,U,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.3634,83.7585,24,
E3003161ABV40298001001K21201308__row_25,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1346.42,40.294,2.733,-4.337,2.164,1.547,5.695,6,U,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.0168,68.2279,25,
E3003161ABV40298001001K21201308__row_26,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1351.33,45.271,2.538,-7.118,2.164,1.546,5.709,1,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.6868,103.9833,26,
E3003161ABV40298001001K21201308__row_27,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1355.302,41.172,2.831,-5.508,2.16,1.548,5.711,2,V,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.566,154.1644,27,chip_BVCE3_1m:2.57
E3003161ABV40298001001K21201308__row_28,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1351.604,42.831,2.245,-4.678,2.16,1.551,5.709,3,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.7474,109.8359,28,
E3003161ABV40298001001K21201308__row_29,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1352.196,42.05,3.319,-5.069,2.16,1.545,5.713,4,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.8785,113.3736,29,
