sample_id,module_id,group_module_id,source_row,dbc_location,chip_position,label_damaged,label_role,process_anomaly_score,process_anomaly_max_z,process_anomaly_feature_count_z_ge_2,top_anomaly_features,label_note
E3003161ABV40298001001K21800896__row_41,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,41,U,4,0,candidate_negative,198.9932,3.6034,1,chip_VTH5_10m:3.60,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_40,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,40,U,3,0,candidate_negative,190.7738,3.4371,1,chip_VTH5_10m:3.44,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_19,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,19,W,6,0,candidate_negative,187.9034,3.0508,2,chip_RG:3.05; chip_BVCE3_1m:2.38,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_39,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,39,U,2,0,candidate_negative,179.5169,3.1784,1,chip_VTH5_10m:3.18,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_2,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,2,U,1,0,candidate_negative,175.5056,3.0093,1,chip_RG:3.01,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_3,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,3,U,2,0,candidate_negative,170.2933,2.8536,1,chip_RG:2.85,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_42,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,42,U,5,0,candidate_negative,169.3822,2.9936,1,chip_VTH5_10m:2.99,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_17,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,17,W,4,0,candidate_negative,164.6694,2.6149,2,chip_RG:2.61; chip_BVCE3_1m:2.32,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_18,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,18,W,5,0,candidate_negative,163.85,2.8329,1,chip_RG:2.83,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_4,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,4,U,3,0,candidate_negative,163.7157,2.7187,1,chip_RG:2.72,uncolored chip row; temporary candidate negative under chip-independence assumption
